"","TEAM","CONF","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","BLUEBLOOD"
"1","North Carolina","ACC",123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,1,1
"2","Wisconsin","B10",129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,1,0
"3","Michigan","B10",114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,1,0
"4","Texas Tech","B12",115.2,85.2,0.9696,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7,1,0
"5","Gonzaga","WCC",117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,1,0
"6","Kentucky","SEC",117.2,96.2,0.9062,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,3.9,1,1
"7","Michigan","B10",121.5,93.7,0.9522,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,1,0
"8","Duke","ACC",125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,1,1
"9","Virginia","ACC",123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,1,0
"10","North Carolina","ACC",121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,1,1
"11","Villanova","BE",123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,1,0
"12","Villanova","BE",128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,1,0
"13","Connecticut","Amer",112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,1,1
"14","Louisville","BE",115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,1,0
"15","Louisville","ACC",109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,1,0
"16","Notre Dame","ACC",125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,1,0
"17","Notre Dame","ACC",118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,1,0
"18","Virginia","ACC",119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,1,0
"19","Duke","ACC",122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,1,1
"20","Florida St.","ACC",113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,0.9,1,0
"21","Duke","ACC",118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,1,1
"22","Purdue","B10",122.8,94.3,0.9539,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,6.1,1,0
"23","Kansas","B12",120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,1,1
"24","Kansas","B12",121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,11,1,1
"25","Kansas St.","B12",109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,2.5,1,0
"26","Texas Tech","B12",112.7,91.5,0.917,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4.7,1,0
"27","Xavier","BE",115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,1.6,1,0
"28","Arizona","P12",117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,1,0
"29","Oregon","P12",118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,1,0
"30","Florida","SEC",116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,6.4,1,0
"31","Kentucky","SEC",118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9,1,1
"32","Kentucky","SEC",117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,1,1
"33","Gonzaga","WCC",120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,1,0
"34","Gonzaga","WCC",123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,1,0
"35","Arizona","P12",116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,9.4,1,0
"36","Michigan","B10",125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,1,0
"37","Michigan St.","B10",119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,1,0
"38","Dayton","A10",113,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,65.4,0.6,1,0
"39","Ohio St.","B10",113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,1,0
"40","Duke","ACC",118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,1,1
"41","Marquette","BE",113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,1,0
"42","Florida","SEC",115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,1,0
"43","Syracuse","ACC",111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,1,0
"44","Michigan St.","B10",116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,1,0
"45","Michigan St.","B10",119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,1,0
"46","Oklahoma","B12",118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,1,0
"47","Kansas","B12",122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,1,1
"48","Loyola Chicago","MVC",110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,1,0
"49","Oregon","P12",117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,1,0
"50","Kentucky","SEC",120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,1,1
"51","South Carolina","SEC",108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,1,0
"52","Auburn","SEC",121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,1,0
"53","Florida","SEC",115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,1,0
"54","Wisconsin","B10",122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,1,0
"55","Syracuse","BE",113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,1,0
"56","Wichita St.","MVC",110.6,91,0.9045,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,1,0
"57","Duquesne","A10",107,111.7,0.379,51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,49.5,47.7,36.2,38.5,67.6,-11.3,0,0
"58","Fordham","A10",101,103,0.445,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,65.9,-12.3,0,0
"59","George Mason","A10",101.2,103.8,0.4276,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,65,-12.6,0,0
"60","George Washington","A10",107.2,96.2,0.7755,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,47.3,44.9,35.2,31.9,62.7,-2.3,0,0
"61","La Salle","A10",98.9,92.9,0.6734,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,64.8,-6.3,0,0
"62","Massachusetts","A10",104.5,100.7,0.6047,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,48.4,47.1,29.6,35,67.8,-4.9,0,0
"63","Rhode Island","A10",102.1,91,0.79,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,50.1,45,30.5,27.3,65.9,-1.1,0,0
"64","Richmond","A10",106.7,94.6,0.7997,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34,30.3,62.2,-3.5,0,0
"65","Saint Joseph's","A10",98.2,97.3,0.5254,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,64,-9.6,0,0
"66","Saint Louis","A10",94.1,102.8,0.2642,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32,35.7,63.4,-12.8,0,0
"67","St. Bonaventure","A10",102.4,98.5,0.6081,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,65,-5.4,0,0
"68","Davidson","A10",113,106,0.6767,52,52,14.2,15.8,24.9,30.8,32.3,30.6,51.1,52.2,35.5,34.3,71.3,-2.1,0,0
"69","Duquesne","A10",108.2,105.1,0.5851,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,73.6,-7.8,0,0
"70","Fordham","A10",101.8,100.4,0.5388,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,51.2,52.3,34.6,33.4,67.5,-6,0,0
"71","George Mason","A10",101.4,103.1,0.4507,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30,45.7,46,29.2,35.3,68.6,-11.6,0,0
"72","George Washington","A10",114.9,99.1,0.8454,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,48.4,48.2,37.1,33,67.2,-0.8,0,0
"73","La Salle","A10",99.2,105.3,0.3358,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,45.4,51.1,33.6,38.1,67,-12.6,0,0
"74","Massachusetts","A10",102.1,100.7,0.5394,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49,33,31.3,71.6,-8.7,0,0
"75","Rhode Island","A10",107.6,98.3,0.7403,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,65.7,-5.9,0,0
"76","Richmond","A10",112.6,104,0.7136,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,55.4,49.4,35.6,36,69.2,-5.5,0,0
"77","Saint Louis","A10",96.4,100.2,0.3913,47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,46.9,50.5,32.8,32.8,69.6,-11.6,0,0
"78","St. Bonaventure","A10",113.2,104.4,0.7173,51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,48.8,50.5,37.3,32.1,68.9,-0.1,0,0
"79","Davidson","A10",108.8,98.6,0.7561,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,69.7,-5.2,0,0
"80","Duquesne","A10",101.6,106.1,0.3798,48.9,49.9,20,17.6,29,30.2,37.1,33.3,48.3,47.9,33.4,35.9,71.7,-14.7,0,0
"81","Fordham","A10",96.6,98.2,0.4547,48.4,53,19.7,25.6,23.4,31,26.7,43.5,47.4,52.3,33.2,36.1,65.8,-11.8,0,0
"82","George Mason","A10",106.1,103.7,0.5669,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,48.5,48.4,34.2,32.7,70,-5.2,0,0
"83","George Washington","A10",107.1,103.8,0.5886,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,45.6,48.9,37.1,35.4,67,-5.2,0,0
"84","La Salle","A10",109.1,107,0.5548,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,52.4,51.3,36.4,39.4,69.9,-7,0,0
"85","Massachusetts","A10",99.6,99.5,0.501,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,53.3,44.5,29.7,34.5,73.6,-10.1,0,0
"86","Richmond","A10",110,102.5,0.6922,53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,55.6,50.9,34.2,32.1,70.1,-3.7,0,0
"87","Saint Joseph's","A10",101.6,102.6,0.4729,46.6,51.2,17,18,29.8,26.6,40.1,32.5,45.7,50.3,32.4,34.9,70,-10.9,0,0
"88","Saint Louis","A10",95.5,103.2,0.2891,47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,44.3,48.9,34.2,35.6,65.2,-12.8,0,0
"89","St. Bonaventure","A10",107.2,100.4,0.6799,49.7,49.9,17.6,20.9,33,31,42.4,41.5,48.5,48.1,34.8,35.3,70,-4.6,0,0
"90","Dayton","A10",108.3,106.8,0.5405,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,59.5,52.5,33.7,38.3,67.2,-9.6,0,0
"91","Duquesne","A10",104.8,106.8,0.4469,49.7,50.8,17.6,18.4,33,28.9,35.4,36.4,47.8,51,35,33.5,67.3,-11,0,0
"92","Fordham","A10",94.1,104.9,0.2223,47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,52.1,52.1,28.8,35.1,67.2,-14.9,0,0
"93","George Mason","A10",101.4,105.6,0.3854,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,49.1,51.5,32.6,35.3,70.1,-9.8,0,0
"94","George Washington","A10",103.9,104.1,0.4952,49.5,51.4,19.2,17.1,31.7,30,28.9,28.1,50.2,50.3,32.1,35.7,66.8,-9.7,0,0
"95","La Salle","A10",104.6,101.6,0.5849,49,51.7,16.5,17.5,25.5,25.4,31,33.8,48.8,48.8,32.9,38.1,70.1,-11.1,0,0
"96","Massachusetts","A10",106.4,109.6,0.4157,52.5,51.5,18.6,16.5,27.2,29.7,25.1,33.2,47.9,51.2,40,34.7,67.6,-12.8,0,0
"97","Richmond","A10",107.1,108,0.4755,52.1,55.4,16.9,19,23.4,28.3,29.7,31.4,53.2,55.3,33.4,37.2,69.1,-11.4,0,0
"98","Saint Joseph's","A10",104.5,99.9,0.628,48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,47.7,48.9,33.7,33.7,71.6,-8.1,0,0
"99","Saint Louis","A10",101.3,99.3,0.5572,47.1,49.3,19.5,18.3,33.8,27,45.8,35.1,46.6,47.7,32,34.8,65.3,-7.9,0,0
"100","VCU","A10",105.5,102.7,0.5788,52.6,51.5,18.7,17.8,29,27,28.1,29.4,52.4,50.9,35.2,35.1,72,-7,0,0
"101","Davidson","A10",107.3,99.8,0.6974,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,52.8,47.3,35.6,33,66.1,-0.9,0,0
"102","Dayton","A10",111.1,98.9,0.7915,56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,59.5,47.7,33.2,32.1,66.1,-2.3,0,0
"103","Duquesne","A10",103.8,104.4,0.4824,49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,51.1,49.5,32.2,33.8,71,-6.7,0,0
"104","Fordham","A10",96,102.6,0.3181,46.8,49.5,16.4,19.1,25.1,28,24.5,36.9,44.7,49.6,33,32.9,66.3,-14.9,0,0
"105","George Mason","A10",102.8,103.9,0.4688,50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,50.5,51.6,33,32,69.2,-6.8,0,0
"106","George Washington","A10",95.4,104.5,0.259,45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,45.3,49.8,31.1,35.6,68.8,-15.8,0,0
"107","La Salle","A10",99.7,102.5,0.422,47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,45.3,51.2,33.1,34.2,70.6,-13.3,0,0
"108","Massachusetts","A10",102.6,108.6,0.3433,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35,35,69,-13.8,0,0
"109","Rhode Island","A10",103.5,99.9,0.6009,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50,48.8,28,32.3,68.9,-6.8,0,0
"110","Richmond","A10",108,107.6,0.5106,54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,55.5,54,34.7,34.4,67.2,-13.5,0,0
"111","Saint Joseph's","A10",105.3,105.3,0.501,48,51.7,13.5,15.7,22,24.4,31.7,27.1,47.8,49.9,32.2,36,69.8,-10.5,0,0
"112","St. Bonaventure","A10",101.1,95.1,0.667,48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,47.9,46.2,32.8,32.3,65.6,-8.3,0,0
"113","Boston College","ACC",108.6,99.2,0.74,50.8,49.4,18.8,18.8,26,30.9,35,40.8,52.1,49,32.4,33.5,63.9,-5.8,0,0
"114","Clemson","ACC",104.2,92.7,0.7942,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,62.2,-3,0,0
"115","Florida St.","ACC",104.1,96.2,0.7105,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66.6,-3.3,0,0
"116","Georgia Tech","ACC",102.1,92.9,0.7463,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,64.2,-6.1,0,0
"117","Miami FL","ACC",111.2,96,0.8446,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,47.4,47.1,35.8,32.4,62.9,0.7,0,0
"118","Pittsburgh","ACC",113.2,101.7,0.7749,49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,48.6,49,33.6,34.9,60.9,-1.5,0,0
"119","Syracuse","ACC",106.1,90.8,0.8565,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,48.3,45.9,30,31.4,66.4,-0.3,0,0
"120","Virginia Tech","ACC",105.5,104.8,0.5204,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,64.2,-8.9,0,0
"121","Wake Forest","ACC",104.8,98.1,0.6826,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.7,-5.7,0,0
"122","Boston College","ACC",95,99.1,0.382,47.5,52.4,20,19.5,21.8,28.6,25.9,37,46.9,50,32.3,38.2,67.8,-12.2,0,0
"123","Clemson","ACC",112.1,98,0.8241,50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,64.5,-2.4,0,0
"124","Florida St.","ACC",112.2,99.1,0.8069,51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,52.1,48.9,34.1,36.2,72.7,0.1,0,0
"125","Georgia Tech","ACC",113.9,98.2,0.845,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,48.4,49.5,35.7,32,67.8,0,0,0
"126","Louisville","ACC",111.5,89.6,0.925,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,51.9,42.8,34.7,32.1,67.2,4.3,0,0
"127","North Carolina St.","ACC",113.6,102.9,0.7561,48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,46.9,47.5,34.8,37.4,68.5,-4,0,0
"128","Virginia Tech","ACC",109.5,97.8,0.7855,50,49,18,17.9,30.3,31.8,49.4,33.5,49.1,50.1,34.8,31.3,70.5,-0.5,0,0
"129","Wake Forest","ACC",106.9,99.4,0.6977,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,72.4,-6.2,0,0
"130","Boston College","ACC",104.1,101.9,0.5618,51.6,53.2,20.1,17.2,25.6,24.2,29.6,39.6,49.1,53.2,37.4,35.4,72.5,-9.8,0,0
"131","Clemson","ACC",115.3,98.9,0.8532,51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,49.8,51,35.7,35.6,67.8,-0.3,0,0
"132","Georgia Tech","ACC",99.4,90.6,0.743,47.4,46,19.3,18.8,27.7,30.8,35.8,27.4,46.9,43.9,32.5,33.1,69.2,-2.1,0,0
"133","North Carolina St.","ACC",111.9,105.2,0.6688,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,52.4,49.5,35.6,36.9,71.9,-4.1,0,0
"134","Pittsburgh","ACC",112.7,101.2,0.7754,51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,49.6,50.2,36.1,35.6,67,-2,0,0
"135","Syracuse","ACC",116.2,100.6,0.84,53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,51.3,49.6,37.9,34.3,68.2,-1.1,0,0
"136","Boston College","ACC",112.6,102.8,0.7399,52.1,51.8,18.2,17.6,30.1,26,30.7,27.1,51.1,50.1,35.9,36.1,70.9,-1.9,0,0
"137","Georgia Tech","ACC",103.4,98.5,0.6385,46.9,49.2,19.2,18.9,30.8,30.6,34.8,31.8,46.6,45.4,31.8,37.9,67,-6.7,0,0
"138","Louisville","ACC",112,96.4,0.8486,51.8,47,16.7,18.9,28.6,31.4,31.9,29.3,49.7,45.8,37.1,32.9,70.6,0.5,0,0
"139","Notre Dame","ACC",114.1,99.4,0.8305,51.1,49.3,14.7,16.4,31.1,28.8,31,22.6,49.6,47,35.6,35.4,66.7,-0.7,0,0
"140","Pittsburgh","ACC",98.2,103.3,0.3571,48.2,50.1,20.9,16.6,22.7,34.8,31.9,31.3,47.8,50.1,32.5,33.4,66.5,-10.9,0,0
"141","Wake Forest","ACC",110.4,101.6,0.7242,50.5,51.5,18.8,17.5,30.5,27.7,31.9,39,47.4,48.1,37.4,37.7,70.7,-7.9,0,0
"142","Boston College","ACC",106.2,101.5,0.628,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,49.1,48.8,31.7,32,68.8,-5.4,0,0
"143","Clemson","ACC",107.2,90.3,0.8773,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30,51.5,44.4,32.8,35,67.4,0.1,0,0
"144","Georgia Tech","ACC",99.9,95.7,0.6205,49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,68.5,-4.8,0,0
"145","Miami FL","ACC",109.3,98.8,0.7632,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.3,-5.1,0,0
"146","North Carolina St.","ACC",112.4,97.5,0.8368,52,49.4,17.3,21.5,36,28.8,28.5,38.8,51.6,51,35.2,30.9,72.8,1.9,0,0
"147","Notre Dame","ACC",107.3,99.8,0.6981,46.2,49,14,16.4,29,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.6,-5.7,0,0
"148","Pittsburgh","ACC",103.3,98.2,0.6421,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,46.9,45.8,33.1,33.6,68.7,-6.3,0,0
"149","Wake Forest","ACC",103.5,103.2,0.5087,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,44.1,54.7,30.8,34.1,68.9,-7.5,0,0
"150","Binghamton","AE",91.4,109.2,0.1151,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,63.6,-19.3,0,0
"151","Hartford","AE",95.2,105.4,0.2371,47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,46,52,32.5,31.6,63.8,-11.2,0,0
"152","Maine","AE",92.3,113.3,0.0863,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,66.6,-20.9,0,0
"153","New Hampshire","AE",98.4,101,0.4249,49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,45.9,45.6,37.4,31.1,64.2,-8.1,0,0
"154","Stony Brook","AE",99.9,98.1,0.5521,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,64.5,-4.8,0,0
"155","UMass Lowell","AE",91.6,107.2,0.1412,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,44.6,54.1,34.9,35.8,64.1,-11.8,0,0
"156","UMBC","AE",87,108.6,0.0727,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,65.1,-20.7,0,0
"157","Vermont","AE",100.7,97.6,0.5879,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,64.7,-9,0,0
"158","Albany","AE",104.7,102.1,0.5703,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,67.3,-4,0,0
"159","Binghamton","AE",89.3,102.1,0.1763,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,45,49,28.4,33.7,66.6,-17.3,0,0
"160","Hartford","AE",99.4,114.2,0.1685,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,45.6,54,35.4,34.7,70.2,-17.7,0,0
"161","Maine","AE",94.5,113.6,0.1081,49.2,55.5,20.8,21,27.9,32.3,32,38,48.3,55.6,33.9,36.9,77.8,-17.4,0,0
"162","New Hampshire","AE",98.7,104.5,0.3402,46.7,50.2,16.8,15.1,29.5,21.7,36.6,34.5,45,48.6,33.2,35.3,68.1,-7.6,0,0
"163","UMass Lowell","AE",99.4,115,0.1581,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,53.2,53.9,36.2,37.1,73.7,-13.2,0,0
"164","UMBC","AE",98.6,117.3,0.1193,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38,70.1,-20.5,0,0
"165","Vermont","AE",107.3,105.8,0.5414,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37,68.5,-6.6,0,0
"166","Albany","AE",107.1,103.7,0.5911,51.7,51.2,18.3,17.5,33,23.6,33.4,31.4,50.3,50.7,37.1,34.7,65.5,-6.9,0,0
"167","Binghamton","AE",94.8,109.5,0.1598,48.8,52.2,18.6,17.1,23.5,28.2,30.8,32.2,47.1,51.3,34.4,35.7,67.2,-15.3,0,0
