"","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","YEAR"
"302",32,13,101.2,92.8,0.7319,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,46.4,48,31.3,29.3,67.3,-5.7,0,2019
"664",26,8,107.9,113,0.3698,52.4,54.2,17.8,18.2,27,29.4,24.5,32,49.9,51.6,37.2,38.4,71.1,-13.6,0,2018
"1534",34,18,102.8,109.8,0.3181,49.3,50.7,16.3,19.6,27.4,32.2,42.8,42,46.4,51.4,36.1,33,70.2,-10.7,0,2014
"3296",31,11,97,107,0.2436,49,51.5,18.1,15.6,22.5,24.5,27.9,31.8,51.9,51.6,29.2,34.3,67.9,-15,1,2023
"2912",31,14,100.6,92,0.7378,47.1,46.3,17.3,19.6,24.9,30.3,21.2,32.3,47.7,46.1,30.7,31.1,67.3,-4.1,1,2022
"3223",35,21,106.1,114.7,0.2909,51.3,54.7,16.3,21.1,30.9,29.3,28,33.9,51.1,55.8,34.3,35.3,68.6,-12.2,1,2023
"2426",34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,1,2015
"3433",31,18,103.9,110.9,0.3217,51.3,52.9,14.8,16.9,26.4,26.8,27,25.6,51.8,50.6,33.8,37.7,67.6,-9.6,1,2023
"3186",35,25,117.5,104.5,0.7939,55,52.3,15.8,24,26.3,37.2,29.1,34.2,55.8,52.2,36,35,68.9,3.5,1,2023
"879",33,20,104.2,98.2,0.6644,55.1,51.1,18.8,20.5,19.9,21.7,32,23.9,55,48.7,36.7,36.6,64.2,-7.2,0,2019
"283",34,18,115.4,99.9,0.8408,55.2,48.7,21.4,15.7,36.4,28,34.1,36.8,54.1,47.7,38,33.7,69.7,-1.1,0,2017
"2443",34,29,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64,6,1,2014
"2005",30,11,96.1,110.1,0.174,48.2,51.6,20.1,20.2,32.7,34.6,30.8,39.2,48.7,52.2,31.2,33.5,66.3,-14.4,0,2013
"4001",31,12,107.7,103.2,0.6223,48.3,51,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,65.5,-8.9,1,2025
"3129",29,9,94.5,109.5,0.1558,46.9,52.4,18.1,18.3,30.5,31.9,29.8,25.6,46.7,51.4,31.5,35.9,67.1,-16.6,1,2022
"1961",30,9,92.1,102.5,0.2259,45.8,50.1,20,22,30.3,32.5,30.3,41.7,44.1,49,33.6,35,63.7,-15.8,0,2013
"2696",21,12,102.7,99.9,0.5772,47.5,49.7,16.1,19,24.8,25.4,29.9,40.9,46.5,48.7,32.8,34.6,67.7,-6.6,1,2021
"2384",34,18,101.9,109.9,0.2937,52.1,50,19.5,16.5,29.4,29.8,38.7,31.8,52.3,50.5,34.6,32.8,72.8,-13.2,1,2018
"47",39,31,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,1,2018
"188",30,15,101.7,112.7,0.2345,53.7,52,19.6,17.9,27,29.8,34.1,32.6,55.1,54.7,34.3,31.6,71.6,-13,0,2019
"3779",29,18,96.5,103.1,0.3181,49.4,50.4,20.1,22.1,26.5,30.8,35.6,46.2,49.9,51.5,32.5,32.2,67.7,-8.2,1,2024
"4245",30,5,94,117.6,0.0705,46.9,54.5,19.5,15.2,27.2,32,32.8,32.8,49.5,56.3,29.2,34.7,64.8,-21.4,1,2025
"2765",22,15,100.8,99.4,0.5391,48.6,50,18.5,19.4,27.9,25.7,31.3,29.4,50.6,47.5,29.4,35.6,67.5,-3.1,1,2021
"780",32,25,108.6,97.8,0.7686,53.2,46.8,17.4,15.4,28.1,25.7,26.1,26.8,50.4,46.6,38,31.5,69,-0.1,0,2019
"475",31,22,103.2,100.8,0.5691,52,49.4,18.6,21.9,24.4,29.1,38.5,36.5,50.7,49.2,36.6,33,67.5,-4.4,0,2018
"3987",34,17,106.9,100.9,0.6588,50.2,49.3,17.4,15.8,30.3,28.6,30.7,28.1,49.5,46.9,34.3,35.1,69,-5.2,1,2025
"952",33,14,91.5,99,0.2879,45.1,48.4,21.5,23.7,29.3,31.3,41.3,42.5,43.8,50,31.9,29.8,70.2,-13.5,0,2017
"384",31,20,106.8,107,0.494,49.2,55,16.5,22,34.7,30.5,33.3,43.3,48.9,54,33.2,38,75.7,-6.8,0,2018
"640",30,12,103.8,111,0.3167,49.6,53.6,18.5,16.2,33.5,28.9,23.1,38.5,48.5,55,34.1,34.2,68.7,-14,0,2019
"2552",20,5,101,104,0.4172,48.6,53.6,18.6,17.2,21.8,30.9,26.7,31.4,50.1,54.1,31.4,35.1,72.5,-7.7,1,2021
"1259",26,8,95.7,109.4,0.1768,46.5,54.8,22.2,21.2,35.7,32.9,45.9,44,45.2,53.9,33.9,37.8,67.5,-13.3,0,2015
"4062",32,13,106.4,108,0.4583,48.6,47.8,17.8,14,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,65.7,-14,1,2025
"4077",32,12,103.1,105.7,0.4279,50.3,51,19.9,15.8,30,27.2,30.4,41.1,49.5,51.7,34.4,33.3,64.8,-10.9,1,2025
"2675",25,11,96.1,109.9,0.1762,49.5,49.2,18.2,17.9,22.2,31.9,28.6,35.4,49.3,48.3,33.2,33.8,70.6,-12.1,1,2021
"3962",35,15,117,106.7,0.7423,53.7,50.1,16.2,11.4,26.1,28.9,36.8,21.3,52.4,51.5,37,31.8,67.8,-6.1,1,2025
"2235",33,26,107.8,101.3,0.6719,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,55,49.9,36,32,69.3,-2.2,1,2019
"745",30,17,100.5,100.8,0.4918,47.8,49,18.5,19.9,32.1,27.7,41.7,41.3,44.8,46.4,35.6,35.2,68.6,-6.7,0,2016
"1327",30,12,104.7,109.9,0.3625,51.7,54.2,16.4,19,25,30.2,30.1,40.9,50.5,50.9,36.4,39.8,71.5,-11.6,0,2016
"2816",33,23,111.9,93,0.8943,52.5,46,18.1,15.5,33.1,26.6,32,28.2,51.4,45.2,35.9,31.9,67.1,4.2,1,2022
"2374",33,23,109.4,97.6,0.7866,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33,32.9,70.2,1.8,1,2019
"301",35,19,112.5,98.1,0.8285,49.2,48.1,14.3,19.3,28.5,32.1,33,30,48.6,46.9,33.4,33.8,68,0,0,2019
"2745",29,14,107.4,95.7,0.7911,45,49.7,15.5,19,29,31.3,36.7,34.3,46.7,48.3,28.4,35.2,70.5,-1.1,1,2021
"3249",28,8,100.5,116,0.1611,48.8,54.8,19.1,14.4,33,27.6,27.8,33.1,49.3,54.4,32.1,37,65.5,-17,1,2023
"3673",30,21,108.7,106.4,0.5633,53.2,49.5,16.3,17.7,29.3,30.5,27.3,35.8,49.2,48,38.9,34.3,64.7,-5.6,1,2024
