"","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","YEAR"
"51",36,26,108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,1,2017
"720",31,12,100.4,107.1,0.3218,52.3,53,18.9,19.3,24.3,26.6,32.2,35.9,50.8,52.6,36.3,35.5,65.9,-15.1,0,2019
"730",29,20,113.2,105.1,0.7002,54.5,51.7,15.1,19.7,28.8,30.9,36.6,36.2,53.7,51.7,36.9,34.4,64.6,-2.6,0,2015
"2712",19,13,102.2,101.4,0.5232,51.4,49.7,20.4,18.6,31.6,23.3,30.1,38,50.2,47.7,35.4,35.4,68.3,-7.3,1,2021
"605",30,7,90.3,101.4,0.2077,44.8,51.6,21.8,19.9,29.4,31.7,30.9,46.6,43.4,50.7,32,35.5,64.9,-15.9,0,2016
"2264",34,25,116.1,95.7,0.9022,53.6,46.2,18.2,16,35,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,1,2016
"1794",26,15,100.8,104.9,0.3883,49.4,50,20.4,24.7,31.7,39.6,43.9,38.9,47.8,50.9,35.2,31.6,62.7,-6.5,0,2013
"75",32,17,107.6,98.3,0.7403,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,65.7,-5.9,0,2016
"1062",31,18,110.5,103.7,0.6759,52.2,50.2,18.3,17.6,30.8,29,36.8,33.5,54.5,46.7,32.1,37.3,67.2,-3.9,0,2019
"862",30,18,107.3,100.9,0.6691,55.3,51.8,17.3,20.9,20.6,25.8,30.8,33.5,53.5,49.6,38.9,37.3,67.1,-7.2,0,2017
"1802",31,15,101.4,103.6,0.44,46.5,49.3,20.2,15.7,41.3,25.8,41.1,42.2,45.4,45.9,33.5,37.8,66.6,-11.6,0,2013
"3537",32,24,120.8,96.8,0.9272,55.2,49,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,66.9,3.3,1,2024
"1281",30,19,102.4,108.2,0.3458,51,51.9,19.5,21,31.2,29.4,40.3,42.2,49.3,53.1,35.8,32.9,69.2,-10.7,0,2017
"972",31,17,95.5,104.4,0.2646,48.5,48.9,17.6,19.2,26.9,28.5,28.6,39.3,47.3,49,33.5,32.4,69.6,-11.7,0,2019
"2888",33,24,108.4,97.8,0.7647,51.8,47.7,18.4,15,30.6,22.5,27.2,31.1,51.9,48.9,34.6,30.5,67.8,0.3,1,2022
"2819",38,32,116.5,88.5,0.9595,53.1,43.3,16.9,21.7,37.7,28,29,34.7,54.5,43.4,33.8,28.8,63.7,6.2,1,2022
"393",31,10,99.4,112,0.2012,50.3,55,17,16.6,25.8,26.5,33.8,29.7,49.2,55.9,34.6,35.8,69.9,-16.7,0,2019
"4110",33,12,106.3,111.4,0.3674,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32,35.5,69.8,-14.1,1,2025
"3725",31,12,106.1,109.1,0.4225,51.5,52.6,18.5,13.1,29.1,28.2,39.4,30,51.1,52,34.9,35.7,68.6,-12,1,2024
"1911",30,3,90.4,110,0.0944,44.7,55.5,21,21.3,30.7,33.1,37.4,47.6,44.4,54.7,30.3,38.2,64.4,-22,0,2013
"592",29,20,106.8,101.2,0.649,53.1,49.1,15.7,19.4,22.9,28.1,24.1,29.8,49.9,47.1,39.1,34.2,66,-5.7,0,2019
"2110",34,26,114,96.9,0.8672,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,73.8,4.3,1,2018
"3552",33,23,115.7,95.6,0.8999,53.2,46.3,15.9,16.4,27.8,30,32.4,27.7,52.8,45.2,35.8,31.9,68.7,2.4,1,2024
"3426",34,17,111.3,98,0.8115,50.4,49.8,18.5,16.6,31.5,26.1,28.2,28.4,46.3,50.5,37.3,32.2,64.2,-3,1,2023
"1524",26,10,102,109.9,0.2987,49.2,51.8,18.8,19.6,31.6,27.2,36.3,49.9,45.7,49.6,38.1,37.4,64.2,-10.4,0,2014
"635",30,16,100.5,101.3,0.4762,53.3,48.3,20,17.6,24.9,30.4,27.8,42,54.1,46.8,34.9,33.8,71.6,-10.1,0,2019
"3945",31,21,108.9,95.8,0.8132,50.5,45.9,16.8,19.5,29.2,31,32.3,37.4,51.5,45.1,32.6,31.2,66.1,1,1,2025
"2848",35,21,107.7,91.6,0.8652,50.6,46.2,17.2,17.6,27,25.1,33.5,30.7,50.9,43.9,33.3,33,67.2,0.2,1,2022
"3609",33,16,111.4,98.7,0.8008,49,49.6,16.2,16.2,32.1,29,32,30,48,49.4,34,33.3,70.9,-2.1,1,2024
"36",37,28,125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,1,2014
"3967",35,14,108.4,99.6,0.7251,50.4,49.9,21,16.2,29.2,28.3,35.8,34.4,51.8,49.1,32.1,34.1,67.9,-4.4,1,2025
"2725",27,13,110.5,98.7,0.786,51.2,49.6,21.9,18.5,35,31.7,36.2,31.6,53.1,49.9,32.6,32.7,71,-2.2,1,2021
"570",32,15,102.5,107.8,0.3572,50.1,52.3,18,15.8,27.3,26.7,37.2,24.7,48.5,50.4,35.4,36.8,67.5,-11,0,2017
"451",31,14,101.4,98.3,0.5883,47.6,49.2,20.2,21,31.5,34,34.4,36.9,46.3,49,33.2,33,65.7,-5.6,0,2015
"1603",32,17,109.8,98,0.7885,48.7,49.1,17.5,19.3,34.1,29.6,44.8,38.7,48.9,45.7,32.1,36.5,66.7,-2.1,0,2014
"4152",32,6,100.5,108.6,0.2907,46.1,54,17.7,18,27,34,36.4,23.5,45.6,56,31.3,34.2,71.1,-16.5,1,2025
"363",29,11,102,109.5,0.307,51.2,53.3,17.4,19.1,28.7,30.7,33.9,32.8,52.7,51.4,31.5,38.3,72.8,-13.9,0,2016
"3163",37,31,116.1,89,0.9548,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,72.6,10.2,1,2023
"1964",31,9,93.3,100.2,0.3071,47.7,47.8,23.5,21.4,26.8,32.9,34.4,44.9,46.1,45.8,34.3,34.4,68.4,-15.1,0,2013
"675",30,19,103.6,97.1,0.6766,52.6,49.1,18.4,19,24.8,26.3,28.1,25.5,52.9,48.7,34.7,33.3,68.6,-5.1,0,2019
"1645",31,11,109,111,0.4495,50.2,57.1,16.1,19.7,25,30.4,37.7,42.9,47,55.8,36.6,39.3,68.6,-10.7,0,2014
"947",33,22,99.6,101.4,0.449,47.6,46.8,19.6,20.7,36.9,27.5,32.6,44.3,46.4,45.6,33.6,32.7,66.7,-7,0,2016
"567",32,17,103.1,105.1,0.4449,51.3,49.8,20,17.3,30,28.1,37.7,29.4,51.3,48.8,34.1,34.2,67.8,-9.4,0,2017
"1258",27,11,99.2,110.4,0.2258,46.4,51.9,16,18.5,33.7,34.4,30.9,34.9,45.9,53.1,31.6,33.1,63.3,-11.2,0,2015
"1279",27,17,103.9,110.7,0.3266,49.1,53.2,19.3,18.5,35.7,28.6,37.8,38.7,48.6,52.6,33.5,36.2,71.6,-7.7,0,2017
"3607",32,22,111.8,98.8,0.8056,55.7,47.6,18.1,18.5,28.5,27.9,27.5,35.7,55,46.2,37.7,33.2,66.2,-3.4,1,2024
"154",33,21,99.9,98.1,0.5521,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,64.5,-4.8,0,2015
"3511",31,24,109.6,100.6,0.7273,52.6,47.7,15.5,20.1,31.7,32.6,26.2,28,53.9,47.7,33.6,31.9,71.9,-2.8,1,2023
"3975",34,26,107.9,100.2,0.7011,50.7,47.3,18.5,20.3,32.4,28.9,43.6,32.4,52.6,46.7,31.3,32.3,71.5,-2.5,1,2025
"3471",31,20,104.1,99.3,0.6336,49.4,48.6,17.4,20.5,25.9,29.4,38.7,33.4,46.5,49.2,36.2,31.7,64.7,-6.1,1,2023
"3813",32,11,99.9,110.1,0.2454,49.7,55.6,18.9,24.1,27,37.3,28.4,35.9,49.9,52.9,32.9,40.3,70.2,-16.3,1,2024
"908",28,14,99.7,104,0.3794,48.6,51.8,18.2,18.9,24.9,26.1,36.1,40.3,47.7,52,33.7,34.3,72.1,-9,0,2017
"1496",31,11,92,97.1,0.3495,45.5,47.3,22.1,20.5,30.4,31.2,36.3,38.5,46.4,44.3,28.3,35.6,66.6,-12.7,0,2014
"2915",31,18,107,97.9,0.7357,49.1,48.4,17,17.2,27.1,25.9,30.7,30.8,48.6,48.8,33.2,31.9,66.4,-3.8,1,2022
"1401",28,7,91.5,111.2,0.0959,44.7,50.5,20.9,19,30.4,36.6,38.6,35.4,45.6,50.1,28.2,34.1,64.4,-16.3,0,2015
"1803",31,15,103.2,106.7,0.4058,53.1,45.9,18.5,15.1,28.2,33.2,33.4,35.1,50,44.5,39.3,32.6,68.3,-11.4,0,2013
"817",29,11,98,118.7,0.0995,47.4,54.3,18,17.6,28.1,35.8,30.4,39.1,47.1,55.7,32,34.4,69.4,-13.1,0,2017
"74",32,14,102.1,100.7,0.5394,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49,33,31.3,71.6,-8.7,0,2016
"554",32,25,108.1,103.8,0.6163,53.6,48.6,17.8,18,32.4,30.4,33.4,29.8,52.6,48.1,37,33.1,69,-1,0,2016
"346",31,18,104.5,104.2,0.5063,53.7,51.3,18,19.9,27.6,28.7,33.3,43.6,52.9,49.4,36.6,36.1,62.5,-7.1,0,2015
"311",31,11,107,94.5,0.8062,47.4,50,19,18.5,30.8,29.8,36.7,33.5,45.7,47.1,34.3,36.5,71.4,-4.5,0,2017
"2948",31,11,106.6,102.2,0.6189,48.4,49.4,18.1,15.2,29.3,29.2,30,28.6,47.3,49.4,33.5,32.9,66.4,-9.4,1,2022
"2012",33,11,98.9,107.4,0.2782,47.8,51.2,19.3,20.7,26.9,33.7,36.5,37.7,46.7,50.8,33.2,34.8,72.2,-15.7,0,2013
"621",30,20,105.3,105.4,0.4963,52,52,20.4,19.5,29.4,26.5,38,37.1,49.4,52,37.2,34.8,70.5,-6.8,0,2017
"3897",37,27,123.1,96.8,0.941,53.8,48.1,14,14.5,28,26.7,34.2,27.7,55.2,46.9,34.8,33.3,67.9,6.6,1,2025
"978",29,10,92.6,106.1,0.1734,43,51.1,18.5,19.2,28.7,34.5,37.6,39,42.3,50,29.5,35.7,63.8,-14.1,0,2015
"3818",32,16,97.7,108,0.2401,47.8,50,17.7,16.9,26.6,23,30.2,36.2,46.8,48.7,32.8,34.6,65.8,-14.1,1,2024
"3292",31,11,98.5,101.9,0.4038,46.5,49.6,20.8,18.2,25.3,30.6,33.9,33.9,45.7,49.1,31.9,33.7,63.5,-9.3,1,2023
"4041",33,20,110,109.5,0.5123,51.1,51,17.7,16.5,33.8,30,41.3,37,49.9,49.3,35.6,35.8,63.2,-7.2,1,2025
"1878",34,20,106.6,102.1,0.6221,48.8,48.5,18.9,20.8,34.5,33.2,43.8,41.3,46.3,49.5,35.8,31,66.9,-6.8,0,2013
"1591",29,14,102.5,111.3,0.2803,51.3,54.2,17.5,20.1,25.8,31.5,47.9,48.7,49.7,55.2,35.5,35.1,70.4,-9.8,0,2014
"2193",32,19,113.1,98.9,0.8227,50,49.6,17.8,19,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,1.3,1,2016
"3075",28,15,94.8,103.4,0.269,48,48.9,18.3,19.5,29.2,29.9,26.5,32.5,49.3,45.6,30.2,37,67.6,-11.8,1,2022
"4114",33,13,100.6,105.8,0.359,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,64.7,-14.7,1,2025
"2501",27,25,111.8,101.6,0.7508,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,1.5,1,2021
"3935",32,19,113.1,97.7,0.8435,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,68.3,0.9,1,2025
"3786",29,15,102.1,109.6,0.3087,50.8,51.3,18.2,16.2,27.3,27.9,38.2,27.6,48.7,50.6,36.1,35.1,66.6,-12.5,1,2024
"1428",31,18,100,100.6,0.4807,49.1,46.7,17.5,15.8,29.3,26.5,34.3,38.5,46.1,44.9,36.8,33.6,68.7,-8.9,0,2019
"324",32,13,104,95.6,0.7237,49.8,49.2,19.3,21,29,36.4,35.8,30.3,48.8,46.4,34.4,36,64.3,-4.7,0,2015
"1443",31,17,105.6,102.7,0.5793,49,49.8,16,16.1,30.3,29.8,41.1,31.4,48.3,50.2,34,32.6,68.4,-5,0,2016
"2927",32,13,106,99.1,0.6857,49.6,51.4,18,19.4,26.7,26.6,28.7,28,50,53.1,32.6,32.3,65.4,-7.1,1,2022
"3870",32,1,96.4,116.1,0.1049,47.3,55.9,19.4,17.3,25.9,35.2,30.3,31.9,50.4,56.1,28.1,37.1,67,-24.8,1,2024
"2994",32,16,93.1,94.1,0.4704,45.7,47.9,18.9,19.6,27.2,26.3,29.7,30.4,46.7,48.5,29.7,31.2,67.8,-8.4,1,2022
"2280",33,27,105.6,100.8,0.6286,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,1,2016
"3805",27,10,99.2,108.2,0.2689,49.6,52,16.4,18.6,23.9,34.3,29.5,45,50.2,53,32.5,33.5,67,-15.2,1,2024
"3737",29,14,101.1,104.9,0.3972,48.2,50.5,20.3,18.2,33.8,25.3,37.2,34.9,48.3,49.4,32.2,34.9,64.6,-13,1,2024
"356",32,19,98.3,102.8,0.3743,48.7,49.5,22.7,18.9,34.4,25.3,44.6,41.7,46.1,48.1,36.3,34.3,66.7,-7.6,0,2016
"3218",33,27,110,105.7,0.6126,54.1,50.1,17,18.5,26.3,26.1,34.4,29.2,54.8,49.3,34.8,34.6,64.4,-1.5,1,2023
"1365",34,18,94.1,101.1,0.3056,45.7,45.5,17.8,20.7,32.3,28.4,30.4,48.1,45.4,44.6,30.8,31.5,68.2,-10.7,0,2016
"4143",32,12,100.7,108.2,0.3047,49.1,52.6,18,17.9,26,32,30.5,29.4,49.3,54.5,32.5,32.3,64.8,-14.2,1,2025
"3832",32,15,99.5,111.7,0.2095,47,52.6,19,19,34.9,32,34.7,34.5,46.2,52.4,32.5,35.2,68.7,-11.6,1,2024
"267",29,7,96,112.6,0.1379,45.5,54.5,17.5,18,27.9,32,25,33,45,54.2,31,36.6,70.7,-17.7,0,2019
"4249",31,3,83.1,125.3,0.0088,42.1,57.9,24.3,15,22.7,38,30.3,38.4,41.6,58.8,28.8,37.7,65.1,-21,1,2025
"2988",29,16,101.1,101.7,0.4836,48.6,46.9,22,18.4,33.6,27.6,35.5,35.5,47,46.2,34.3,32.2,69.6,-9.2,1,2022
"2968",27,21,100.5,99.1,0.5394,48.6,47.2,18.6,16.4,33.6,23.4,30.5,30.8,47.2,49.9,34.5,29.3,61.4,-5.6,1,2022
"2789",23,18,99.6,99.3,0.5073,51.8,49.7,20.1,22.7,28.6,26.5,27.1,33.3,49.1,47.5,39.4,35.2,62.9,-4.4,1,2021
"2292",31,28,103.8,97.1,0.6832,53.1,49.7,20.7,25.9,32,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,-1.8,1,2018
"617",34,17,100.4,106.7,0.3324,50.5,48.1,22.3,16.6,32.5,31.4,38.4,32.2,47.6,45.7,37,36,73.2,-13.3,0,2017
"4040",32,21,106.8,106.3,0.5125,51.4,51.5,19.4,18.3,39.8,26.6,38,32.4,53.1,52.2,31.9,33.6,68.9,-6.7,1,2025
"2516",20,17,102.7,96,0.6852,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,1,2021
"2085",36,31,107.2,97.6,0.7458,51.3,44.1,17.5,16.7,33.7,27,28.7,33,50.1,40.7,35.9,33.9,66.6,0.7,1,2019
"4158",31,14,103.5,112.3,0.2816,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51,54.5,34.6,31.5,66.6,-13.7,1,2025
"725",32,10,94,106.9,0.1854,48.7,51.2,23.3,18.7,29.9,27.8,34.8,38.5,48.8,46.7,32.5,38.6,64.9,-17.1,0,2019
"3721",30,17,102.1,104.6,0.4305,49.1,50.3,16.1,16,27.9,26.7,35.9,39.4,47.4,50,34.8,34,69.4,-10.1,1,2024
"4004",38,29,115.2,110.6,0.6157,56.2,51.8,14.7,16.2,25.5,28.9,30.9,33.9,57.5,51.1,36.5,35.1,66.8,-4,1,2025
"455",28,8,106.6,109.6,0.4223,48,53.2,15.1,15.9,30.1,28.3,35.2,40.2,44.9,50,35.4,40,67.3,-12,0,2016
"1594",28,4,95.7,117.1,0.0892,47.1,55.7,18.8,18.2,26.8,35.3,30.9,44.4,45.6,55.2,34.1,37.7,68.4,-19,0,2014
"3149",29,5,96.5,116.5,0.1028,49.3,56.3,19.3,14.7,24.6,30,28.3,37.4,46.9,54,35.8,39.9,69.8,-18.5,1,2022
"1153",31,16,104.7,105.9,0.4676,51.4,50.2,18,16.6,26.9,28.9,33.6,31.6,52.1,49.7,33.7,34,69.4,-10.5,0,2018
"873",32,20,104.4,102.8,0.5446,52.2,50.5,18.7,19.9,25.9,29,32.4,34.1,51.5,50.9,35.7,33.3,67.9,-5.3,0,2018
"2533",19,3,94.7,110.5,0.1442,44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,42.8,52,32.4,39,65.8,-11.7,1,2021
"1019",31,22,110.3,105.7,0.6218,52.9,52.5,16.6,20.8,32.3,30,34.7,34.2,51.1,53.5,37.5,34,70.4,-4.9,0,2019
"3677",32,20,107.7,105.7,0.5522,52.2,49.2,14.1,19.2,28,31.9,32.1,34.7,51.9,48.4,35.1,33.8,67.3,-9.1,1,2024
"1725",29,14,106.8,110.8,0.3939,51.4,51.2,19.3,16.8,33.6,34.2,43.4,41.3,48.7,49.2,38.1,36.9,70.3,-9.8,0,2014
"3013",22,13,97.4,100.7,0.4072,48.6,47.3,17.9,19.2,26.2,28.9,29.4,36.9,48.7,45.4,32.3,33.9,67.3,-8.1,1,2022
"175",29,11,96.1,108.2,0.203,49.7,51.6,18.3,17,25.9,26.7,30,32.4,48.1,48.2,34.8,38.7,67.4,-16,0,2018
"719",32,11,89.2,103.8,0.1496,47.4,51,24.1,23.5,30.6,30.3,33.3,45.6,45.6,48.6,33.2,36.1,63.3,-17.4,0,2019
"3663",32,14,103.1,99.3,0.6075,47.3,51.7,14.8,19.4,21.8,29.7,33.1,31.2,48.6,52.2,30.1,34,69,-5.6,1,2024
"2288",32,20,111,96,0.842,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,50.3,45.4,39,32.7,66.8,0.4,1,2018
"62",32,17,104.5,100.7,0.6047,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,48.4,47.1,29.6,35,67.8,-4.9,0,2015
"2977",29,19,101.1,100.6,0.5151,49.9,46.5,20.3,17.3,32.7,28.7,31.1,25.5,48.3,47.8,35.1,30,66.6,-8.8,1,2022
"2266",33,21,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,1,2016
"1402",28,9,91.1,106.5,0.1431,44.5,49.9,20.3,17.8,28.5,30.4,33.3,37,44.4,49.1,29.8,34.3,62.4,-14.4,0,2015
"2062",34,25,116,94.3,0.9154,54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,54.7,46.1,35.3,35.1,68.2,4.5,1,2018
"4043",32,13,110.7,110.5,0.507,51,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,68,-11.7,1,2025
"3720",31,18,100,102.3,0.4345,49.4,49.6,21.9,22.9,33.3,30.4,42.2,47.4,49.2,46,33.2,37.1,69.3,-9.6,1,2024
"1086",30,8,94.7,107.6,0.1874,50.3,52.5,20.2,20.2,21.7,28,30.7,41.4,51.7,51.4,31.8,36.6,66,-16.4,0,2017
"2817",37,28,108.7,90.7,0.8894,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,1,2022
"369",32,16,104.9,107.3,0.4375,51.2,52,15.6,18.2,28,26.8,33,44.4,49.9,52.1,35.7,34.5,68.2,-10.8,0,2017
"2086",35,19,102.7,100.1,0.5721,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,65.3,-7.5,1,2015
"2253",32,22,110.2,94.9,0.8486,51.7,48.6,17,19,31.6,25,35.1,29.6,52,47.8,34.1,33.2,70,-1.5,1,2018
"88",33,12,95.5,103.2,0.2891,47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,44.3,48.9,34.2,35.6,65.2,-12.8,0,2017
"3319",28,13,97.8,107.4,0.2534,51.1,53.4,18.7,20.3,22.9,30,23,28.7,51.5,54.4,33.5,34.6,65.6,-11.8,1,2023
"4071",33,15,104.9,107,0.4429,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,66.2,-11.9,1,2025
"2263",32,27,114.9,101,0.8138,57.6,48.7,15.2,16,25.3,25,28.5,27.4,59.2,47.2,37,34.4,72.5,1.2,1,2019
"2666",20,11,100.8,104.1,0.4092,51.4,48.7,21.2,14.8,31.7,24,43.5,34.6,51.2,47.2,34.7,34.4,70.3,-7,1,2021
"2130",33,30,112,101.6,0.7527,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,52.3,50,34.9,34.7,63.5,1.7,1,2014
"4224",30,14,93.1,108.8,0.1431,43.7,50.4,19.4,18.2,31.7,25,29.3,39.9,41.5,50.8,31.6,33.2,60.4,-13,1,2025
"94",33,15,103.9,104.1,0.4952,49.5,51.4,19.2,17.1,31.7,30,28.9,28.1,50.2,50.3,32.1,35.7,66.8,-9.7,0,2018
"1105",31,13,95.8,102.1,0.3254,49.6,53.3,16.5,18.7,21.6,22.9,24.3,28.4,51,53.4,31.8,35.4,71.2,-14,0,2019
"3844",27,10,93.6,106.8,0.1802,45.2,50.9,18.1,13.4,27,29,31.2,33.5,44.1,52.3,31.4,31.9,66.7,-14.1,1,2024
"4035",33,20,106.3,105.6,0.5179,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35,30.1,68.4,-7,1,2025
"2670",22,11,91.8,105.3,0.171,48.8,51.4,20.1,20.7,24.9,30.3,34.3,27.9,49.9,52,31.4,33.7,68.1,-10.4,1,2021
"2861",33,22,99.4,93.1,0.6786,47.5,44.2,20.1,20.5,30.9,29,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,1,2022
"1465",29,11,99,108.6,0.2557,48.6,56.6,17.2,18.9,23.7,27.1,30.2,32.4,47.1,55.1,33.8,40,65.7,-12.5,0,2018
"2031",31,12,87.1,103.5,0.1209,41.3,46.9,21.6,21.1,38.6,33.4,32.6,43.7,42,46.9,26,31.3,67,-15.1,0,2013
"1183",30,13,104.9,107.5,0.4303,51.7,54,18,17.6,26.2,25.9,38.4,41.5,45.8,54.3,40.9,35.5,66.2,-10.4,0,2016
"3368",30,15,94.4,105,0.2282,48.5,51.4,20.5,23,24.4,28.6,34.5,42.9,48,51.6,32.8,34,70.9,-11.4,1,2023
"1928",28,6,96.7,118.7,0.0868,50.5,55,23.9,18,30.9,36.2,37.8,28.8,48.9,53.6,35.9,38.2,65.4,-18,0,2013
"137",32,13,103.4,98.5,0.6385,46.9,49.2,19.2,18.9,30.8,30.6,34.8,31.8,46.6,45.4,31.8,37.9,67,-6.7,0,2018
"2720",26,13,107.7,94.7,0.8151,48.3,48.6,17.2,16.8,29.1,29.9,31.6,30.1,48.5,50.6,32,29.7,66.7,-1.8,1,2021
"1256",25,14,104.1,111.9,0.3028,52,51.4,15.7,17.9,25.7,31.5,45.3,39.6,51.8,50.6,35,35.5,67.7,-6,0,2015
"1706",31,15,100.3,107.6,0.3079,50,51.5,22.4,19.5,35.5,31.6,46.1,54.3,50.5,50.5,32.6,35.6,68.1,-10.7,0,2014
"2370",30,20,95.9,96.7,0.475,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46,40.5,36.7,30,65,-5.7,1,2013
"276",31,8,99.6,102.9,0.4079,45.9,51.7,16.5,17.8,26.5,29.2,37.1,34.2,45.6,48.7,31,38.2,69.4,-12.8,0,2016
"3050",32,19,103.1,109.4,0.3366,51,51,17.3,17.1,29.8,28.3,30.4,30.3,50.8,50.7,34.1,34.3,66.6,-10.4,1,2022
"415",30,7,99.2,113.9,0.1695,50.7,54.1,20.5,17.3,29.6,28.1,34.3,36.4,49.8,51.6,34.9,38.2,70,-18.6,0,2016
"1221",32,16,109.5,99,0.7602,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71,-4.6,0,2016
"1178",31,11,101.1,108.1,0.3177,50.1,51.4,19.6,20.9,29.4,32.5,44.7,42.9,51,48.9,31.9,37,68.9,-14.8,0,2016
"1253",28,7,90.6,111.3,0.0854,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,42,55.2,37.8,37,64,-16.8,0,2015
"3991",35,25,110,104.3,0.6477,55.6,49.1,14.7,15.9,23.7,26.6,31.2,22,56.5,50.5,36.4,31.2,66.4,-4.1,1,2025
"1595",26,9,96.5,103.9,0.299,47,49.2,19.7,16.5,30.3,31.3,35.5,38.2,47,48.8,31.4,33.3,63.4,-10.2,0,2014
"3424",30,17,107.8,113.8,0.3511,52.4,54.8,16.3,16.6,28.6,28.7,30,26.4,55.1,56.1,32.1,35.3,65,-10,1,2023
"2196",32,20,126.8,102.3,0.9221,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,72.9,3.3,1,2017
"156",30,4,87,108.6,0.0727,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,65.1,-20.7,0,2015
"1808",26,16,107.9,100.1,0.7046,53.9,48.2,20.3,20.8,30.6,28.6,34.6,37.6,49.9,47,41,34.2,60.6,-5,0,2013
"3615",32,23,109.6,98.5,0.7729,55.2,49.5,16.8,19.8,29.3,24.2,23.7,38.5,57.1,48.5,34.9,34.2,67,-2.4,1,2024
"1018",31,19,97.4,102.6,0.3558,49,51,19.8,20.3,28.2,30.1,37.7,36.6,47.5,51.6,34.5,33.4,72,-7.9,0,2018
"3453",31,19,105.8,101.3,0.6224,51.2,51.6,19.3,21.8,31.9,29.2,29.4,34.6,51,50.2,34.3,36.2,66.8,-5.2,1,2023
"4096",32,16,103,106.9,0.3934,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,64.1,-9.2,1,2025
"1363",33,8,87.8,109.6,0.0719,45,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,65.8,-17.8,0,2016
"1864",34,19,109.2,98.9,0.7562,52.5,49.1,18.6,22.8,27,35.8,43.2,43,49.4,48.4,37.8,33.9,64,-4,0,2013
"4184",27,12,104.4,116.6,0.2195,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,71,-11.3,1,2025
"3493",33,22,114.4,102.4,0.7813,52.6,50.5,15.6,17.5,27.9,27.3,39.1,28.5,52.4,50.8,35.6,33.4,71.6,-1,1,2023
"1474",21,2,95.1,116.4,0.0889,47.2,56.4,22.3,18,24.9,33.8,42.3,48.3,42.3,56.8,37.3,37.1,64.9,-14.1,0,2014
